loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_range_high,revol_util,total_acc,loan_status
16795,60 months,13.82,D,4 years,OTHER,153634.97,debt_consolidation,11.33,4,688,6.69,30,Fully Paid
1860,36 months,14.39,A,9 years,OTHER,20245.77,major_purchase,2.68,3,663,67.23,27,Fully Paid
39158,36 months,16.18,G,5 years,OWN,35684.86,other,12.71,0,798,99.86,29,Fully Paid
12284,60 months,24.75,G,10+ years,RENT,164354.61,credit_card,14.38,2,689,16.77,46,Charged Off
7265,36 months,25.05,F,8 years,MORTGAGE,173201.38,debt_consolidation,0.8,3,738,68.29,10,Fully Paid
17850,36 months,22.99,C,6 years,OTHER,81819.23,small_business,14.64,4,738,82.43,24,Charged Off
38194,60 months,5.55,C,9 years,RENT,192500.27,home_improvement,2.81,1,845,84.41,9,Charged Off
22962,60 months,19.12,D,2 years,RENT,74282.5,credit_card,26.77,0,819,70.75,33,Fully Paid
17023,36 months,23.69,C,9 years,RENT,180250.98,debt_consolidation,19.5,0,816,90.99,39,Fully Paid
2685,36 months,16.12,B,9 years,MORTGAGE,95907.64,home_improvement,1.69,4,772,3.21,40,Charged Off
1769,36 months,28.62,F,4 years,OTHER,121125.56,other,24.81,2,702,6.42,46,Fully Paid
3433,60 months,25.6,F,3 years,MORTGAGE,135789.01,debt_consolidation,10.85,2,744,13.45,39,Fully Paid
6311,36 months,20.95,D,10+ years,RENT,43959.49,small_business,6.77,3,698,4.33,16,Fully Paid
38819,60 months,6.56,G,4 years,RENT,26680.05,major_purchase,7.62,3,798,11.99,30,Fully Paid
18568,60 months,21.31,A,7 years,OTHER,96824.05,small_business,17.93,2,755,81.7,27,Fully Paid
20769,36 months,27.79,C,10+ years,OTHER,48864.17,major_purchase,2.45,1,814,89.65,49,Fully Paid
29693,60 months,14.49,B,5 years,MORTGAGE,118808.09,home_improvement,1.76,2,683,33.6,8,Fully Paid
7396,36 months,25.95,G,3 years,MORTGAGE,101655.55,debt_consolidation,18.83,1,696,95.72,12,Charged Off
28480,36 months,12.83,D,4 years,MORTGAGE,41977.57,debt_consolidation,29.46,4,724,41.84,31,Charged Off
26658,60 months,19.25,G,10+ years,RENT,139841.31,small_business,14.5,1,691,17.2,32,Charged Off
19942,60 months,21.21,D,6 years,OTHER,23689.06,credit_card,12.4,4,712,68.13,12,Fully Paid
